id,name,email,feedback_type,rating,comments,sentiment
1018,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,2,positive,
1019,azlina,bless2.0@kuskop.gov.my,Recommendation,5,test,
1020,azlina,bless2.0@kuskop.gov.my,Recommendation,4,ok,
1021,azlina,bless2.0@kuskop.gov.my,Recommendation,4,ok,
1022,azlina,bless2.0@kuskop.gov.my,Recommendation,5,baddddd,
1023,ali bin abu,quakeroat.dew@gmail.com,Recommendation,3,test,
1024,osman,osman@gmail.com,Recommendation,1,very bad,
1025,osman,osman@gmail.com,Recommendation,3,zzzzzzzz,
1026,ah meng,meng@yahoo.com,Recommendation,3,too bad,
1027,ah meng,meng@yahoo.com,Recommendation,3,bad,
1028,ah meng,meng@yahoo.com,Recommendation,4,good,
1029,azlina,bless2.0@kuskop.gov.my,Recommendation,4,test,
1030,osman,osman@gmail.com,Recommendation,4,asaadadsada,
1031,osman,osman@gmail.com,Recommendation,4,hello,POSITIVE
1032,ah meng,meng@yahoo.com,Recommendation,3,hello im good,POSITIVE
1033,fasha sandha,fasha@yahoo.com,Other,2,really bad,NEGATIVE
1034,ah meng,meng@yahoo.com,Recommendation,4,test,NEGATIVE
1035,rosyam nor,rosyam@yahoo.com,Recommendation,4,good system,POSITIVE
1036,ah meng,meng@yahoo.com,Recommendation,5,good good,
1037,abu bin ali,ali@yahoo.com,Prediction,4,good,
1038,abu bin ali,ali@yahoo.com,Prediction,4,good,
1039,abu bin ali,ali@yahoo.com,Recommendation,4,very bad,
1040,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good system,
1041,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good system,
1042,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good system,
1043,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good system,
1044,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good,
1045,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good,
1046,azlina,bless2.0@kuskop.gov.my,Recommendation,5,very good,
1047,azlina,bless2.0@kuskop.gov.my,Recommendation,5,ssss,
1048,azlina,bless2.0@kuskop.gov.my,Recommendation,3,sssss,
1049,mat zain bin hamat,zain@yahoo.com,Other,4,very good system,
1050,mat zain bin hamat,zain@yahoo.com,Recommendation,4,aaaaa,
1051,mat zain bin hamat,zain@yahoo.com,Prediction,3,test,
